*Mercedes Championships,,,,,,
Greg Kraft,-,WD,WD,WD,79,-
*Nissan Open,,,,,,
Billy Mayfair,-,71,69,67,272,"$378,000 "
Tiger Woods,-,73,65,66,272,"$226,800 "
Stephen Ames,-,71,70,68,275,"$142,800 "
John Daly,-,71,66,66,276,"$92,400 "
Payne Stewart,-,67,69,70,276,"$92,400 "
Tommy Armour III,-,68,67,73,277,"$67,988 "
Bob Estes,-,70,67,71,277,"$67,988 "
Jeff Gallagher,-,71,68,69,277,"$67,988 "
Scott Hoch,-,71,68,71,277,"$67,988 "
Barry Cheesman,-,73,67,66,278,"$52,500 "
Jay Haas,-,70,67,68,278,"$52,500 "
Scott Verplank,-,72,70,68,278,"$52,500 "
Skip Kendall,-,73,64,73,279,"$42,000 "
Hal Sutton,-,69,66,72,279,"$42,000 "
Fred Funk,-,70,70,69,280,"$33,600 "
Loren Roberts,-,73,72,67,280,"$33,600 "
Kevin Sutherland,-,73,67,70,280,"$33,600 "
Kirk Triplett,-,69,68,69,280,"$33,600 "
Bobby Wadkins,-,72,70,69,280,"$33,600 "
Jim Carter,-,68,71,72,282,"$24,465 "
Brandel Chamblee,-,70,70,69,282,"$24,465 "
Jerry Kelly,-,71,71,72,282,"$24,465 "
Frank Lickliter II,-,71,70,70,282,"$24,465 "
Michael Bradley,-,71,70,71,283,"$17,430 "
Rick Fehr,-,67,70,75,283,"$17,430 "
Guy Hill,-,74,67,71,283,"$17,430 "
Tom Pernice Jr.,-,74,70,68,283,"$17,430 "
Brett Quigley,-,70,69,75,283,"$17,430 "
Dan Forsman,-,74,71,68,284,"$13,650 "
Tom Kite,-,75,69,72,284,"$13,650 "
Scott Simpson,-,73,70,71,284,"$13,650 "
Mike Springer,-,73,70,71,284,"$13,650 "
Mark Wiebe,-,72,69,75,284,"$13,650 "
Doug Barron,-,71,68,71,285,"$11,603 "
Omar Uresti,-,73,69,70,285,"$11,603 "
John Cook,-,71,72,73,286,"$9,465 "
Steve Jones,-,72,74,69,286,"$9,465 "
Jonathan Kaye,-,68,75,69,286,"$9,465 "
Neal Lancaster,-,71,78,65,286,"$9,465 "
Tom Lehman,-,71,68,74,286,"$9,465 "
Lee Rinker,-,73,71,72,286,"$9,465 "
Clarence Rose,-,75,70,70,286,"$9,465 "
Richie Coughlan,-,72,73,71,287,"$6,258 "
Chris DiMarco,-,72,76,70,287,"$6,258 "
Nick Faldo,-,70,73,71,287,"$6,258 "
Harrison Frazar,-,71,72,71,287,"$6,258 "
Bob Friend,-,74,71,71,287,"$6,258 "
P.H. Horgan III,-,78,72,69,287,"$6,258 "
Larry Rinker,-,75,68,75,287,"$6,258 "
Mike Standly,-,73,73,74,287,"$6,258 "
Willie Wood,-,75,72,69,287,"$6,258 "
Niclas Fasth,-,70,75,70,288,"$4,925 "
Keiichiro Fukabori,-,74,75,72,288,"$4,925 "
Andrew Magee,-,75,71,73,288,"$4,925 "
Phil Mickelson,-,76,74,71,288,"$4,925 "
Joe Daley,-,72,75,73,289,"$4,746 "
Robert Gamez,-,72,70,75,289,"$4,746 "
D.A. Weibring,-,73,72,71,289,"$4,746 "
Brad Fabel,-,72,72,72,290,"$4,557 "
Kent Jones,-,68,75,72,290,"$4,557 "
Shigeki Maruyama,-,79,75,69,290,"$4,557 "
Dennis Paulson,-,71,71,73,290,"$4,557 "
Iain Steel,-,72,73,73,290,"$4,557 "
Fuzzy Zoeller,-,74,73,71,290,"$4,557 "
Fred Couples,-,73,74,74,291,"$4,389 "
Sonny Skinner,-,72,73,75,291,"$4,389 "
Craig Barlow,-,73,72,74,292,"$4,284 "
Ben Bates,-,75,71,77,292,"$4,284 "
Brent Geiberger,-,71,74,77,292,"$4,284 "
Kelly Gibson,-,71,71,77,293,"$4,137 "
Lee Porter,-,71,75,72,293,"$4,137 "
Ted Schulz,-,72,75,73,293,"$4,137 "
Duffy Waldorf,-,73,76,72,293,"$4,137 "
Glen Day,-,74,79,69,294,"$3,990 "
Blaine McCallister,-,72,72,78,294,"$3,990 "
Mike Reid,-,74,76,74,294,"$3,990 "
Kevin Wentworth,-,72,74,77,295,"$3,906 "
Ken Conant,-,72,74,82,302,"$3,864 "
Dave Barr,-,73,MC,MC,147,-
Mike Brisky,-,75,MC,MC,147,-
Clark Dennis,-,76,MC,MC,147,-
R.W. Eaks,-,75,MC,MC,147,-
Franklin Langham,-,75,MC,MC,147,-
Steve Lowery,-,73,MC,MC,147,-
Jim McGovern,-,74,MC,MC,147,-
Spike McRoy,-,71,MC,MC,147,-
Craig Stadler,-,74,MC,MC,147,-
David Sutherland,-,73,MC,MC,147,-
Esteban Toledo,-,76,MC,MC,147,-
Bob Tway,-,74,MC,MC,147,-
Grant Waite,-,76,MC,MC,147,-
Tim Conley,-,75,MC,MC,148,-
Justin Leonard,-,78,MC,MC,148,-
Sandy Lyle,-,73,MC,MC,148,-
Corey Pavin,-,73,MC,MC,148,-
Dicky Pride,-,78,MC,MC,148,-
John Riegger,-,78,MC,MC,148,-
Jeff Sanday,-,74,MC,MC,148,-
David Toms,-,73,MC,MC,148,-
Ted Tryba,-,75,MC,MC,148,-
Vance Veazey,-,76,MC,MC,148,-
Jay Don Blake,-,74,MC,MC,149,-
Paul Goydos,-,74,MC,MC,149,-
Scott Gump,-,74,MC,MC,149,-
Kazuhiko Hosokawa,-,76,MC,MC,149,-
John Morse,-,76,MC,MC,149,-
David Ogrin,-,74,MC,MC,149,-
Joe Ozaki,-,75,MC,MC,149,-
Hugh Royer III,-,77,MC,MC,149,-
Chris Smith,-,75,MC,MC,149,-
Ronnie Black,-,80,MC,MC,150,-
Jim Estes,-,79,MC,MC,150,-
Glen Hnatiuk,-,77,MC,MC,150,-
Peter Jacobsen,-,75,MC,MC,150,-
